               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11281,            0.080338,            0.045002,          0.00097619,             0.11919,           0.0009666,          0.00038764,            0.099328,             0.08304,            0.042961,              0.0883,              0.0013,              0.0013
                   1,             0.10506,            0.091506,            0.042821,          0.00083333,             0.10174,          0.00069566,           0.0001565,            0.094667,               0.088,            0.042212,            0.075691,           0.0026911,           0.0026911
                   2,             0.10036,            0.099812,            0.041238,          0.00085714,             0.10465,          0.00076131,          0.00015087,            0.091789,            0.090924,            0.041448,            0.063073,           0.0040729,           0.0040729
                   3,            0.098522,            0.099047,            0.039783,          0.00082604,            0.098837,          0.00063578,          0.00013597,            0.090584,            0.092064,            0.040857,            0.050446,           0.0054456,           0.0054456
                   4,            0.097192,             0.10483,            0.038948,          0.00082604,            0.098837,          0.00073306,          0.00014476,            0.090097,            0.092418,            0.040361,            0.037809,           0.0068089,           0.0068089
                   5,            0.094597,             0.10572,            0.037257,          0.00085034,             0.10174,          0.00089648,          0.00017244,            0.089762,            0.092625,            0.039856,            0.025163,            0.008163,            0.008163
                   6,            0.092841,             0.10055,            0.034935,          0.00082612,            0.098837,           0.0017673,          0.00033684,            0.089616,            0.092596,            0.039553,            0.012508,           0.0095079,           0.0095079
                   7,             0.09171,            0.099146,            0.032602,           0.0019801,             0.12427,            0.011636,           0.0023518,            0.087331,            0.091302,            0.037318,            0.009769,            0.009769,            0.009769
                   8,            0.087442,             0.09234,            0.031702,             0.03754,             0.09593,            0.046028,            0.010971,            0.076782,            0.098053,            0.031693,            0.009769,            0.009769,            0.009769
                   9,            0.081777,            0.093295,            0.029961,             0.55368,             0.19034,            0.049312,            0.013915,            0.075835,            0.085768,            0.028917,            0.009736,            0.009736,            0.009736
                  10,            0.083598,            0.093734,            0.028164,             0.56046,             0.15978,            0.044968,            0.012565,            0.078594,            0.074545,            0.025536,            0.009703,            0.009703,            0.009703
                  11,            0.084597,            0.086453,            0.026661,             0.56563,             0.22371,            0.060315,            0.016286,            0.081821,            0.070442,            0.020973,             0.00967,             0.00967,             0.00967
                  12,             0.08146,            0.085695,            0.024302,             0.53635,             0.13579,            0.030371,           0.0080046,            0.090389,            0.071441,            0.025093,            0.009637,            0.009637,            0.009637
                  13,            0.084803,            0.080841,            0.022537,             0.60222,             0.24765,             0.10133,            0.031648,            0.078598,            0.070564,            0.021106,            0.009604,            0.009604,            0.009604
                  14,            0.078316,            0.075449,            0.020858,             0.59599,             0.15887,            0.074976,            0.023069,            0.080993,              0.0678,             0.01848,            0.009571,            0.009571,            0.009571
                  15,            0.076559,            0.074679,            0.019899,             0.29657,            0.044312,            0.017023,           0.0065403,            0.085503,             0.10333,             0.02627,            0.009538,            0.009538,            0.009538
                  16,            0.076055,             0.07481,            0.019851,              0.6347,             0.10319,            0.047473,            0.014645,            0.086823,            0.082111,             0.03125,            0.009505,            0.009505,            0.009505
                  17,            0.070116,            0.072958,            0.018554,             0.55485,             0.10675,            0.028592,           0.0089522,            0.087765,            0.085324,              0.0237,            0.009472,            0.009472,            0.009472
                  18,            0.073451,            0.074084,            0.017246,             0.13776,             0.24745,             0.14497,            0.046321,            0.068667,             0.12946,            0.014634,            0.009439,            0.009439,            0.009439
                  19,            0.065752,            0.071204,            0.015831,               0.703,              0.2359,             0.18593,            0.067692,            0.062476,            0.073412,             0.01257,            0.009406,            0.009406,            0.009406
                  20,             0.07159,            0.069308,            0.017259,             0.74196,             0.28516,             0.26427,            0.097696,            0.058446,            0.066853,            0.010763,            0.009373,            0.009373,            0.009373
                  21,            0.064913,            0.067874,            0.014582,             0.71027,             0.33453,             0.23018,            0.077385,            0.057269,            0.073695,            0.011895,             0.00934,             0.00934,             0.00934
                  22,            0.068171,             0.07085,            0.015694,             0.77045,              0.3258,             0.32767,             0.13962,            0.055792,            0.066466,            0.011844,            0.009307,            0.009307,            0.009307
                  23,            0.064297,            0.069718,            0.014069,              0.7389,             0.34103,             0.29834,             0.11781,            0.057441,            0.060554,            0.010426,            0.009274,            0.009274,            0.009274
                  24,            0.069052,            0.067908,            0.013481,             0.62652,             0.17353,             0.10743,            0.043352,            0.077837,            0.095062,            0.030395,            0.009241,            0.009241,            0.009241
                  25,            0.062143,            0.062706,            0.012815,             0.76568,             0.39874,              0.3633,             0.15231,            0.051129,            0.058865,           0.0093219,            0.009208,            0.009208,            0.009208
                  26,            0.061294,            0.062317,            0.013533,             0.75064,             0.37819,             0.33068,             0.13112,            0.052062,             0.05573,           0.0098842,            0.009175,            0.009175,            0.009175
                  27,            0.058777,            0.060663,             0.01385,             0.80539,             0.39042,             0.36734,             0.15689,            0.045394,            0.063955,            0.010058,            0.009142,            0.009142,            0.009142
                  28,             0.06246,            0.061945,            0.014636,             0.69725,             0.34338,             0.23399,            0.071037,            0.062724,             0.05773,           0.0097557,            0.009109,            0.009109,            0.009109
                  29,             0.05867,            0.062021,            0.013801,             0.82628,              0.3921,              0.3953,             0.18529,            0.043598,             0.05379,           0.0098917,            0.009076,            0.009076,            0.009076
                  30,            0.059526,            0.068312,            0.013309,             0.79927,             0.38686,             0.36139,             0.13713,            0.052723,            0.053957,           0.0094646,            0.009043,            0.009043,            0.009043
                  31,            0.060583,            0.061065,            0.012286,             0.81861,             0.41291,             0.39207,             0.18179,            0.045071,            0.052727,           0.0097639,             0.00901,             0.00901,             0.00901
                  32,             0.05907,            0.060687,            0.011673,             0.82868,             0.37449,             0.38264,             0.14455,            0.053298,              0.0516,           0.0097666,            0.008977,            0.008977,            0.008977
                  33,            0.056671,            0.064241,            0.013048,             0.90972,             0.42053,             0.47241,             0.23053,             0.04237,            0.052429,           0.0092423,            0.008944,            0.008944,            0.008944
                  34,            0.055807,              0.0579,            0.012936,             0.85955,             0.41973,             0.44266,             0.19673,            0.043117,              0.0521,           0.0089907,            0.008911,            0.008911,            0.008911
                  35,            0.051668,            0.057006,             0.01165,              0.9005,             0.43461,             0.48406,             0.21923,            0.041366,            0.048764,           0.0088821,            0.008878,            0.008878,            0.008878
                  36,             0.05543,            0.057677,            0.013084,             0.87095,              0.3944,             0.42708,             0.17969,            0.046772,            0.049176,           0.0091557,            0.008845,            0.008845,            0.008845
                  37,            0.051313,            0.057669,            0.011467,             0.70815,             0.22576,              0.1713,            0.072018,            0.061672,            0.083081,            0.021936,            0.008812,            0.008812,            0.008812
                  38,            0.054032,            0.054641,            0.011015,             0.88647,             0.41132,             0.46608,             0.19233,            0.047875,            0.057372,           0.0096071,            0.008779,            0.008779,            0.008779
                  39,            0.052215,            0.057267,            0.012154,             0.92523,             0.42454,             0.50386,             0.26605,            0.038956,            0.048481,           0.0089456,            0.008746,            0.008746,            0.008746
                  40,            0.048569,            0.057247,            0.011815,             0.66344,             0.26208,             0.14336,            0.056565,            0.064857,             0.10235,            0.025958,            0.008713,            0.008713,            0.008713
                  41,            0.049248,            0.056244,            0.011755,             0.91774,              0.4509,             0.50341,              0.2704,            0.039228,             0.04812,           0.0086145,             0.00868,             0.00868,             0.00868
                  42,            0.049081,            0.055764,            0.012094,             0.84529,             0.34992,             0.36616,             0.13457,            0.056078,            0.057112,            0.010008,            0.008647,            0.008647,            0.008647
